Epoch 1, Loss: 0.19886234402656555
Epoch 2, Loss: 0.10900476574897766
Epoch 3, Loss: 0.12020643055438995
Epoch 4, Loss: 0.08914970606565475
Epoch 5, Loss: 0.0919119268655777
Epoch 6, Loss: 0.1542442888021469
Epoch 7, Loss: 0.06253644078969955
Epoch 8, Loss: 0.06355825811624527
Epoch 9, Loss: 0.006623979192227125
Epoch 10, Loss: 0.024642109870910645
Epoch 11, Loss: 0.004815190564841032
Epoch 12, Loss: 0.004590204451233149
Epoch 13, Loss: 0.024619080126285553
Epoch 14, Loss: 0.008317760191857815
Epoch 15, Loss: 0.002217015717178583
Epoch 16, Loss: 0.07220067828893661
Epoch 17, Loss: 0.005309847183525562
Epoch 18, Loss: 0.0063355909660458565
Epoch 19, Loss: 0.0409163199365139
Epoch 20, Loss: 0.0014564853627234697
Epoch 21, Loss: 0.021214304491877556
Epoch 22, Loss: 0.007388508878648281
Epoch 23, Loss: 0.0001725315669318661
Epoch 24, Loss: 0.0004041249630972743
Epoch 25, Loss: 0.019093720242381096
Epoch 26, Loss: 0.0001276477996725589
Epoch 27, Loss: 0.002137929666787386
Epoch 28, Loss: 0.004358738195151091
Epoch 29, Loss: 0.0005464974092319608
Epoch 30, Loss: 0.009983409196138382
Epoch 31, Loss: 0.004247370176017284
Epoch 32, Loss: 0.00021654805459547788
Epoch 33, Loss: 0.008753672242164612
Epoch 34, Loss: 0.00956634059548378
Epoch 35, Loss: 4.822489427169785e-05
Epoch 36, Loss: 0.05112816393375397
Epoch 37, Loss: 0.0013354510301724076
Epoch 38, Loss: 0.00042284614755772054
Epoch 39, Loss: 6.173811561893672e-05
Epoch 40, Loss: 0.0014964549336582422
Epoch 41, Loss: 0.0015273455064743757
Epoch 42, Loss: 1.2420820894476492e-05
Epoch 43, Loss: 1.05080389403156e-05
Epoch 44, Loss: 3.1684262467024382e-06
Epoch 45, Loss: 7.661715244466905e-06
Epoch 46, Loss: 4.393774361233227e-06
Epoch 47, Loss: 1.6060877896961756e-05
Epoch 48, Loss: 8.244120181188919e-06
Epoch 49, Loss: 1.014048666547751e-05
Epoch 50, Loss: 1.5688210623920895e-05
Validation Accuracy: 97.44%
